filename,filepath,parse_success,error,title,composer,num_parts,num_measures,actual_measures,num_notes,num_chords,num_rest,num_accidentals,accidental_ratio,pitch_min,pitch_max,pitch_range_semitones,num_large_leaps,large_leap_ratio,max_large_leap_semitones,max_polyphony,duration_quarter_lengths,note_density,chord_ratio,tempo_bpm,time_signatures,key_signature_sharps,no_key_signature,right_hand_single_notes,right_hand_chords,left_hand_single_notes,left_hand_chords,left_hand_melody_range_semitones,left_hand_is_melody,selected
3544951_Avatar_The_Last_Airbender_Medley_1__Music_by_Jeremy_Zuckerman__m124-131__c001703.musicxml,candidate_musicxml_full_bothhands\3544951_Avatar_The_Last_Airbender_Medley_1__Music_by_Jeremy_Zuckerman__m124-131__c001703.musicxml,True,,Avatar: The Last Airbender ,Music by Jeremy Zuckerman,2,16,8,60,8,0,0,0.0,C2,G4,31,1,0.023809523809523808,12,4,32.0,1.875,0.15384615384615385,,4/4,0,True,39,2,5,6,19,False,True
ABBA_Mamma_Mia_Easy_Piano__ABBA__m034-041__c002006.musicxml,candidate_musicxml_full_bothhands\ABBA_Mamma_Mia_Easy_Piano__ABBA__m034-041__c002006.musicxml,True,,ABBA_Mamma Mia_Easy Piano,Abby Hou,2,16,8,78,4,13,2,0.02564102564102564,G2,G5,36,1,0.015625,10,4,32.0,2.4375,0.05714285714285714,,4/4,0,True,36,0,30,4,10,False,True
ABBA_Mamma_Mia_Easy_Piano__ABBA__m039-046__c002007.musicxml,candidate_musicxml_full_bothhands\ABBA_Mamma_Mia_Easy_Piano__ABBA__m039-046__c002007.musicxml,True,,ABBA_Mamma Mia_Easy Piano,Abby Hou,2,16,8,93,8,12,2,0.021505376344086023,G2,F5,34,1,0.014925373134328358,10,4,31.5,2.9523809523809526,0.1038961038961039,,4/4,0,True,40,0,29,8,10,False,True
ABBA_Thank_You_For_The_Music_Easy_Piano__ABBA__m007-014__c003650.musicxml,candidate_musicxml_full_bothhands\ABBA_Thank_You_For_The_Music_Easy_Piano__ABBA__m007-014__c003650.musicxml,True,,ABBA_ThankYouForTheMusic_Easy_Piano,,2,16,8,86,8,4,7,0.08139534883720931,C3,A5,33,1,0.014925373134328358,10,4,32.0,2.6875,0.1038961038961039,,4/4,0,True,45,0,24,8,17,False,True
Actually_decent_for_once__Me__m001-008__c003503.musicxml,candidate_musicxml_full_bothhands\Actually_decent_for_once__Me__m001-008__c003503.musicxml,True,,Title,Composer,2,16,8,69,9,9,0,0.0,D1,E7,74,1,0.023255813953488372,14,4,32.0,2.15625,0.16666666666666666,160.0,4/4,0,True,21,0,24,9,9,False,True
Actually_decent_for_once__Me__m008-015__c003504.musicxml,candidate_musicxml_full_bothhands\Actually_decent_for_once__Me__m008-015__c003504.musicxml,True,,Title,Composer,2,16,8,90,3,3,0,0.0,C2,E6,52,1,0.012658227848101266,14,4,32.0,2.8125,0.03571428571428571,,4/4,0,True,17,3,64,0,9,False,True
Actually_decent_for_once__Me__m013-020__c003505.musicxml,candidate_musicxml_full_bothhands\Actually_decent_for_once__Me__m013-020__c003505.musicxml,True,,Title,Composer,2,16,8,101,7,6,0,0.0,A1,E6,55,1,0.01282051282051282,14,4,32.0,3.15625,0.08045977011494253,,4/4,0,True,25,7,55,0,12,False,True
Adolgard_Anthem__Neyliece__m036-043__c000952.musicxml,candidate_musicxml_full_bothhands\Adolgard_Anthem__Neyliece__m036-043__c000952.musicxml,True,,Ottoman Ballad ,Neyliece,2,16,8,67,5,7,0,0.0,B2,E5,29,1,0.0196078431372549,12,4,32.0,2.09375,0.08771929824561403,,4/4,0,True,52,0,0,5,0,False,True
Age__NA__m036-043__c000325.musicxml,candidate_musicxml_full_bothhands\Age__NA__m036-043__c000325.musicxml,True,,k,,2,16,8,95,2,0,3,0.031578947368421054,E2,E5,36,1,0.011235955056179775,10,3,32.0,2.96875,0.021505376344086023,,4/4,0,True,48,1,43,1,20,False,True
Ah_vous_dirai-je_Maman_1_var__Mozart__m001-008__c003705.musicxml,candidate_musicxml_full_bothhands\Ah_vous_dirai-je_Maman_1_var__Mozart__m001-008__c003705.musicxml,True,,"Ah vous dirai-je, Maman",Mozart,2,16,8,72,1,4,3,0.041666666666666664,C3,E6,40,1,0.014705882352941176,12,3,16.0,4.5,0.014084507042253521,,2/4,0,True,53,0,17,1,17,False,True
